"","SA","cancer","type"
"33dcd9bc-e944-4b57-9f3a-11dc4814e2c2",0.353674062783309,"BLCA","tumor"
"25f0753c-098f-4dd3-9865-c7cf2cde22ce",0.0535955929505674,"BLCA","tumor"
"8c2013dc-5057-496d-9ee1-eab685d1fbd5",0.0431396318576653,"BLCA","tumor"
"bcf1dbc3-6886-4f28-b737-b972d3af68d7",0.0605671334643206,"BLCA","tumor"
"85cdb5a9-cca3-4ec4-bf62-9d942716d2d8",0.0284878873292955,"BLCA","tumor"
"a803f54f-6c7e-4cbc-a47c-1d0f5ec22cd8",0.0692098600747313,"BLCA","tumor"
"f6afb248-1a25-4407-91f4-d6f309aa1fd8",0.01295066418129,"BLCA","tumor"
"e4898c93-ded6-4739-baa3-e31f7c0208d9",0.10780565448737,"BLCA","tumor"
"28ba5e13-8802-42dd-bbec-7b14679ce3d9",0.0747979550765822,"BLCA","tumor"
"cceb7ba1-257c-45f8-a6f8-4860a2ada4da",0.343790718168949,"BLCA","tumor"
"677ae20f-4072-46ba-a7d2-9be052ed5cda",0.0432389401227078,"BLCA","tumor"
"41196acd-e5a1-4089-9377-5853a6d14cde",0.0858689004385689,"BLCA","tumor"
"816cff9b-c10e-4265-844e-7d02f46f7ee5",0.0742259210837353,"BLCA","tumor"
"8a4aa6a6-74b5-455e-8908-8a86522bf3e7",0.0274443288727651,"BLCA","tumor"
"0b367451-f169-4f59-80bb-cf2d51799de8",0.0674378439292248,"BLCA","tumor"
"5dbbfa87-fb32-4f5e-93e2-0f26ffc2deea",0.0689846553938987,"BLCA","tumor"
"5f16d2a6-bdd1-40fe-a34d-9c65d067efec",0.24172809658564,"BLCA","tumor"
"82c75b87-33d1-4317-ac48-7043a3d677ec",0.277960595547509,"BLCA","tumor"
"8925059f-07ff-4b69-b678-d0fdb44281f2",0.269585997494354,"BLCA","tumor"
"e93c4a65-43ce-4c2d-8dcb-29287fc969f2",0.025932120196763,"BLCA","tumor"
"f7daeb35-7a57-448a-a6c5-b442bba238f3",0.0781790691481412,"BLCA","tumor"
"d6654189-0570-4603-8c92-3032f2cf7ef3",0.000504912698154271,"BLCA","tumor"
"9f09f075-f74b-4a74-a2ea-544e34e21bf3",0.013003737403121,"BLCA","tumor"
"0797dc35-6243-451d-9653-9649d390c0f4",0.0141014632329988,"BLCA","tumor"
"4ef67f08-bf9c-42f3-938b-cded571bcff4",0.0771155993825439,"BLCA","tumor"
"0f55cda9-7584-4d21-96a1-79882af97cf4",0.282490947094861,"BLCA","tumor"
"d2ae6d2b-8720-4381-9cda-8555c37230f5",0.0280002857429625,"BLCA","tumor"
"4f64614a-fddc-4728-8a72-22fccd04f8f8",0.0869929800468409,"BLCA","tumor"
"02c77eec-0d53-4cf0-8ff8-d8572b3724f9",0.0635311003143107,"BLCA","tumor"
"daf737c4-df51-4c8c-b263-91b00b09d8fc",0.346889338583424,"BLCA","tumor"
